Year,Value,Units,Series
1998,15.1626757621213,PCT,NV_IND_SSIS
1999,15.4599739294265,PCT,NV_IND_SSIS
2000,15.8026860786774,PCT,NV_IND_SSIS
2001,14.3714566944202,PCT,NV_IND_SSIS
2002,15.2969913064524,PCT,NV_IND_SSIS
2003,12.6440666090158,PCT,NV_IND_SSIS
2004,17.2976339479796,PCT,NV_IND_SSIS
2005,17.3951896851313,PCT,NV_IND_SSIS
2006,17.1208698382715,PCT,NV_IND_SSIS
2007,17.3451956845165,PCT,NV_IND_SSIS
2008,17.0448449579131,PCT,NV_IND_SSIS
2009,13.6866137450499,PCT,NV_IND_SSIS
2010,13.4326819508731,PCT,NV_IND_SSIS
2011,13.1967628077957,PCT,NV_IND_SSIS
2012,20.3351155623043,PCT,NV_IND_SSIS
2013,12.9023184956767,PCT,NV_IND_SSIS
2014,11.8438030317532,PCT,NV_IND_SSIS
2015,11.2327286601838,PCT,NV_IND_SSIS
2016,21.4291493507835,PCT,NV_IND_SSIS
2017,16.9803237754215,PCT,NV_IND_SSIS
2018,16.1681941947857,PCT,NV_IND_SSIS
2019,12.5790577695301,PCT,NV_IND_SSIS
2020,16.3375713167816,PCT,NV_IND_SSIS
2021,14.2210407121329,PCT,NV_IND_SSIS
1998,15.1626757621213,,
1999,15.4599739294265,,
2000,15.8026860786774,,
2001,14.3714566944202,,
2002,15.2969913064524,,
2003,12.6440666090158,,
2004,17.2976339479796,,
2005,17.3951896851313,,
2006,17.1208698382715,,
2007,17.3451956845165,,
2008,17.0448449579131,,
2009,13.6866137450499,,
2010,13.4326819508731,,
2011,13.1967628077957,,
2012,20.3351155623043,,
2013,12.9023184956767,,
2014,11.8438030317532,,
2015,11.2327286601838,,
2016,21.4291493507835,,
2017,16.9803237754215,,
2018,16.1681941947857,,
2019,12.5790577695301,,
2020,16.3375713167816,,
2021,14.2210407121329,,
