Year,Value,Units,Series
1993,6.3,litrar,Rúsdrekkanýtsla fyri hvørt fólk eldri enn 15 ár
1994,6.3,litrar,Rúsdrekkanýtsla fyri hvørt fólk eldri enn 15 ár
1995,6.3,litrar,Rúsdrekkanýtsla fyri hvørt fólk eldri enn 15 ár
1996,6.7,litrar,Rúsdrekkanýtsla fyri hvørt fólk eldri enn 15 ár
1997,6.6,litrar,Rúsdrekkanýtsla fyri hvørt fólk eldri enn 15 ár
1998,6.6,litrar,Rúsdrekkanýtsla fyri hvørt fólk eldri enn 15 ár
1999,6.6,litrar,Rúsdrekkanýtsla fyri hvørt fólk eldri enn 15 ár
2000,6.8,litrar,Rúsdrekkanýtsla fyri hvørt fólk eldri enn 15 ár
2001,7.0,litrar,Rúsdrekkanýtsla fyri hvørt fólk eldri enn 15 ár
2002,7.1,litrar,Rúsdrekkanýtsla fyri hvørt fólk eldri enn 15 ár
2003,7.0,litrar,Rúsdrekkanýtsla fyri hvørt fólk eldri enn 15 ár
2004,6.8,litrar,Rúsdrekkanýtsla fyri hvørt fólk eldri enn 15 ár
2005,6.6,litrar,Rúsdrekkanýtsla fyri hvørt fólk eldri enn 15 ár
2006,6.9,litrar,Rúsdrekkanýtsla fyri hvørt fólk eldri enn 15 ár
2007,7.2,litrar,Rúsdrekkanýtsla fyri hvørt fólk eldri enn 15 ár
2008,7.0,litrar,Rúsdrekkanýtsla fyri hvørt fólk eldri enn 15 ár
2009,6.9,litrar,Rúsdrekkanýtsla fyri hvørt fólk eldri enn 15 ár
2010,6.7,litrar,Rúsdrekkanýtsla fyri hvørt fólk eldri enn 15 ár
2011,6.4,litrar,Rúsdrekkanýtsla fyri hvørt fólk eldri enn 15 ár
2012,6.6,litrar,Rúsdrekkanýtsla fyri hvørt fólk eldri enn 15 ár
2013,6.3,litrar,Rúsdrekkanýtsla fyri hvørt fólk eldri enn 15 ár
2014,6.3,litrar,Rúsdrekkanýtsla fyri hvørt fólk eldri enn 15 ár
2015,6.4,litrar,Rúsdrekkanýtsla fyri hvørt fólk eldri enn 15 ár
2016,6.3,litrar,Rúsdrekkanýtsla fyri hvørt fólk eldri enn 15 ár
2017,6.5,litrar,Rúsdrekkanýtsla fyri hvørt fólk eldri enn 15 ár
2018,6.4,litrar,Rúsdrekkanýtsla fyri hvørt fólk eldri enn 15 ár
2019,6.4,litrar,Rúsdrekkanýtsla fyri hvørt fólk eldri enn 15 ár
2020,6.5,litrar,Rúsdrekkanýtsla fyri hvørt fólk eldri enn 15 ár
2021,6.7,litrar,Rúsdrekkanýtsla fyri hvørt fólk eldri enn 15 ár
2022,6.5,litrar,Rúsdrekkanýtsla fyri hvørt fólk eldri enn 15 ár
1993,6.3,,
1994,6.3,,
1995,6.3,,
1996,6.7,,
1997,6.6,,
1998,6.6,,
1999,6.6,,
2000,6.8,,
2001,7.0,,
2002,7.1,,
2003,7.0,,
2004,6.8,,
2005,6.6,,
2006,6.9,,
2007,7.2,,
2008,7.0,,
2009,6.9,,
2010,6.7,,
2011,6.4,,
2012,6.6,,
2013,6.3,,
2014,6.3,,
2015,6.4,,
2016,6.3,,
2017,6.5,,
2018,6.4,,
2019,6.4,,
2020,6.5,,
2021,6.7,,
2022,6.5,,
