Year,Units,Series,Value
2007,NO,SH_STA_POISN,8.28337423249361
2008,NO,SH_STA_POISN,2.06347241137386
2009,NO,SH_STA_POISN,0.0
2010,NO,SH_STA_POISN,2.06311055177892
2011,NO,SH_STA_POISN,0.0
2012,NO,SH_STA_POISN,0.0
2013,NO,SH_STA_POISN,0.0
2014,NO,SH_STA_POISN,0.0
2015,NO,SH_STA_POISN,2.04628701221633
2016,NO,SH_STA_POISN,0.0
2017,NO,SH_STA_POISN,0.0
2018,NO,SH_STA_POISN,3.93101076114196
2019,NO,SH_STA_POISN,0.0
2020,NO,SH_STA_POISN,0.0
2021,NO,SH_STA_POISN,3.75414128710734
