Year,Units,Series,Value
1970,Í tali,Føðitíttleiki í móðuraldursbólkinum 15-19 ár,75.0
1971,Í tali,Føðitíttleiki í móðuraldursbólkinum 15-19 ár,73.0
1972,Í tali,Føðitíttleiki í móðuraldursbólkinum 15-19 ár,70.5
1973,Í tali,Føðitíttleiki í móðuraldursbólkinum 15-19 ár,72.0
1974,Í tali,Føðitíttleiki í móðuraldursbólkinum 15-19 ár,74.4
1975,Í tali,Føðitíttleiki í móðuraldursbólkinum 15-19 ár,66.7
1976,Í tali,Føðitíttleiki í móðuraldursbólkinum 15-19 ár,65.4
1977,Í tali,Føðitíttleiki í móðuraldursbólkinum 15-19 ár,62.5
1978,Í tali,Føðitíttleiki í móðuraldursbólkinum 15-19 ár,48.7
1979,Í tali,Føðitíttleiki í móðuraldursbólkinum 15-19 ár,60.1
1980,Í tali,Føðitíttleiki í móðuraldursbólkinum 15-19 ár,54.8
1981,Í tali,Føðitíttleiki í móðuraldursbólkinum 15-19 ár,54.4
1982,Í tali,Føðitíttleiki í móðuraldursbólkinum 15-19 ár,45.2
1983,Í tali,Føðitíttleiki í móðuraldursbólkinum 15-19 ár,32.8
1984,Í tali,Føðitíttleiki í móðuraldursbólkinum 15-19 ár,35.5
1985,Í tali,Føðitíttleikin í móðuraldursbólkinum 10-14 ár,0.0
1985,Í tali,Føðitíttleiki í móðuraldursbólkinum 15-19 ár,25.1
1986,Í tali,Føðitíttleikin í móðuraldursbólkinum 10-14 ár,0.0
1986,Í tali,Føðitíttleiki í móðuraldursbólkinum 15-19 ár,26.2
1987,Í tali,Føðitíttleikin í móðuraldursbólkinum 10-14 ár,0.0
1987,Í tali,Føðitíttleiki í móðuraldursbólkinum 15-19 ár,21.5
1988,Í tali,Føðitíttleikin í móðuraldursbólkinum 10-14 ár,0.0
1988,Í tali,Føðitíttleiki í móðuraldursbólkinum 15-19 ár,17.9
1989,Í tali,Føðitíttleikin í móðuraldursbólkinum 10-14 ár,0.0
1989,Í tali,Føðitíttleiki í móðuraldursbólkinum 15-19 ár,25.3
1990,Í tali,Føðitíttleikin í móðuraldursbólkinum 10-14 ár,0.0
1990,Í tali,Føðitíttleiki í móðuraldursbólkinum 15-19 ár,28.7
1991,Í tali,Føðitíttleikin í móðuraldursbólkinum 10-14 ár,0.0
1991,Í tali,Føðitíttleiki í móðuraldursbólkinum 15-19 ár,22.3
1992,Í tali,Føðitíttleikin í móðuraldursbólkinum 10-14 ár,0.0
1992,Í tali,Føðitíttleiki í móðuraldursbólkinum 15-19 ár,28.0
1993,Í tali,Føðitíttleikin í móðuraldursbólkinum 10-14 ár,0.0
1993,Í tali,Føðitíttleiki í móðuraldursbólkinum 15-19 ár,27.7
1994,Í tali,Føðitíttleikin í móðuraldursbólkinum 10-14 ár,0.0
1994,Í tali,Føðitíttleiki í móðuraldursbólkinum 15-19 ár,23.6
1995,Í tali,Føðitíttleikin í móðuraldursbólkinum 10-14 ár,0.0
1995,Í tali,Føðitíttleiki í móðuraldursbólkinum 15-19 ár,18.4
1996,Í tali,Føðitíttleikin í móðuraldursbólkinum 10-14 ár,0.0
1996,Í tali,Føðitíttleiki í móðuraldursbólkinum 15-19 ár,14.6
1997,Í tali,Føðitíttleikin í móðuraldursbólkinum 10-14 ár,0.0
1997,Í tali,Føðitíttleiki í móðuraldursbólkinum 15-19 ár,15.2
1998,Í tali,Føðitíttleikin í móðuraldursbólkinum 10-14 ár,0.0
1998,Í tali,Føðitíttleiki í móðuraldursbólkinum 15-19 ár,17.9
1999,Í tali,Føðitíttleikin í móðuraldursbólkinum 10-14 ár,0.0
1999,Í tali,Føðitíttleiki í móðuraldursbólkinum 15-19 ár,14.4
2000,Í tali,Føðitíttleikin í móðuraldursbólkinum 10-14 ár,0.0
2000,Í tali,Føðitíttleiki í móðuraldursbólkinum 15-19 ár,15.7
